total_estimate_educational_attainment_population_25_years_and_over,percent_below_poverty_level_estimate_age_65_years_and_over,"percent_below_poverty_level_estimate_worked_full-time,_year-round_in_the_past_12_months",total_estimate_age_18_to_64_years,total_estimate_employment_status_civilian_labor_force_16_years_and_over,total_estimate_population_for_whom_poverty_status_is_determined,percent_below_poverty_level_estimate_age_under_18_years,percent_below_poverty_level_estimate_population_for_whom_poverty_status_is_determined,total_estimate_sex_female,total_estimate_work_experience_population_16_years_and_over,total_estimate_mean_income_deficit_for_unrelated_individuals_(dollars),total_estimate_age_under_18_years,total_estimate_sex_male,total_estimate_age_65_years_and_over,percent_below_poverty_level_estimate_age_18_to_64_years,Year,city_name
102923,12.0,2.3,90644,64767,150013,21.5,16.2,75935,119633,7608.0,34604,74078,24765,15.4,2016,"Decatur, AL"
70845,8.5,2.2,60377,50467,102860,29.4,17.2,53434,82388,6135.0,23080,49426,19403,15.4,2016,"Decatur, IL"
469784,9.9,3.1,359830,274380,626925,17.2,13.5,321349,531901,7257.0,109955,305576,157140,13.9,2016,"Deltona, FL"
1938582,7.3,2.7,1822647,1597271,2817887,12.1,9.4,1414409,2236781,6815.0,651602,1403478,343638,8.9,2016,"Denver, CO"
414110,7.0,3.2,385090,351076,622957,12.9,9.5,315434,481134,6208.0,159815,307523,78052,8.7,2016,"Des Moines, IA"
2936822,9.1,3.1,2646811,2145866,4252257,21.9,14.9,2185842,3414231,6657.0,955381,2066415,650065,13.7,2016,"Detroit, MI"
101242,13.8,5.5,86612,64596,146001,27.7,19.5,75536,117125,5994.0,33502,70465,25887,18.0,2016,"Dothan, AL"
115753,6.7,3.7,101361,82881,169798,22.0,13.8,88131,133351,7011.0,40058,81667,28379,12.5,2016,"Dover, DE"
54686,4.7,2.5,45314,36383,75146,23.2,13.2,37734,62436,5423.0,14612,37412,15220,12.7,2016,"DuBois, PA"
63944,7.8,3.2,55519,52928,93267,15.6,10.6,46976,73964,5588.0,21806,46291,15942,9.5,2016,"Dubuque, IA"
187984,7.5,3.2,167559,139977,269255,17.3,14.4,133853,221432,6844.0,54084,135402,47612,15.4,2016,"Duluth, MN"
82522,9.3,6.7,77821,56980,127123,19.8,16.0,64113,96678,6916.0,34261,63010,15041,15.6,2016,"Dunn, NC"
370752,6.8,2.7,341117,289707,534580,20.4,14.9,281389,430431,7743.0,116849,253191,76614,14.8,2016,"Durham, NC"
112340,6.9,4.1,104211,81849,163291,17.6,11.4,82215,134849,6518.0,32867,81076,26213,10.6,2016,"East Stroudsburg, PA"
105399,9.2,3.7,98618,88190,159214,16.0,13.3,79812,127626,6272.0,35134,79402,25462,13.3,2016,"Eau Claire, WI"
102207,18.3,4.7,97133,70798,171694,33.7,24.6,87943,126371,6732.0,51647,83751,22914,21.3,2016,"El Centro, CA"
43213,2.8,9.3,38356,28126,60186,12.9,12.5,29931,48808,6054.0,12467,30255,9363,14.7,2016,"Elizabeth City, NC"
97723,11.8,5.1,90035,71240,146050,18.5,14.5,73520,115241,5535.0,35424,72530,20591,13.5,2016,"Elizabethtown, KY"
127675,7.1,3.7,117324,103298,200273,17.9,14.3,101529,150738,7038.0,55706,98744,27243,14.2,2016,"Elkhart, IN"
56845,9.3,8.1,48181,39489,81113,20.3,13.9,42349,65434,5324.0,18018,38764,14914,12.9,2016,"Elmira, NY"
505225,20.3,4.1,496027,370198,826353,32.1,22.8,425218,622023,5769.0,231677,401135,98649,19.0,2016,"El Paso, TX"
40229,4.7,4.6,35954,29754,60874,22.1,14.0,31108,46819,6297.0,15534,29766,9386,12.9,2016,"Enid, OK"
182897,7.8,3.9,161270,133725,263197,24.4,15.9,134724,211741,6305.0,58370,128473,43557,15.0,2016,"Erie, PA"
251776,8.3,5.7,227049,181789,361357,21.2,19.0,182538,302709,7297.0,66924,178819,67384,21.5,2016,"Eugene, OR"
90914,9.2,6.9,84410,66972,133208,17.1,20.2,67022,110152,6222.0,26028,66186,22770,24.2,2016,"Eureka, CA"
212745,10.1,6.4,187271,161819,308131,20.0,15.0,157099,244805,6479.0,71027,151032,49833,14.3,2016,"Evansville, IN"
60230,1.7,5.2,63753,53042,96375,17.8,9.9,44056,74801,7158.0,24068,52319,8554,8.1,2016,"Fairbanks, AK"
146727,8.1,3.9,149330,136427,229432,15.2,11.9,111756,180602,6185.0,53445,117676,26657,11.4,2016,"Fargo, ND"
39647,4.3,4.7,34265,31458,57438,16.6,9.2,28307,45093,6495.0,13922,29131,9251,7.5,2016,"Faribault, MN"
40900,6.3,0.0,36043,27279,59961,8.6,12.2,29756,48351,6122.0,13818,30205,10100,15.2,2016,"Farmington, MO"
74679,10.6,0.9,67155,52036,113095,25.5,16.9,57760,87250,7403.0,28837,55335,17103,14.8,2016,"Farmington, NM"
233864,10.2,5.7,229385,158847,366566,27.4,19.4,190147,280521,6703.0,96078,176419,41103,17.6,2016,"Fayetteville, NC"
328129,7.9,1.9,316135,253537,515949,15.3,13.2,258810,393544,7240.0,135202,257139,64612,13.5,2016,"Fayetteville, AR"
50851,4.8,3.5,45193,38850,72966,11.2,10.2,36054,59120,6141.0,15761,36912,12012,11.3,2016,"Findlay, OH"
81299,9.1,3.7,82461,66420,127592,18.9,17.9,62416,102317,7611.0,28621,65176,16510,19.4,2016,"Flagstaff, AZ"
276951,8.8,4.4,245120,185569,404281,28.9,20.2,209533,322216,6767.0,92921,194748,66240,20.1,2016,"Flint, MI"
137850,10.3,5.7,120313,95989,200840,27.3,18.6,107103,158726,5809.0,47402,93737,33125,17.5,2016,"Florence, SC"
100251,13.6,3.2,86886,66227,143672,20.3,15.7,73349,118037,5564.0,30219,70323,26567,14.7,2016,"Florence, AL"
69532,7.0,1.6,59815,54575,98723,9.3,6.6,49920,79559,7191.0,21917,48803,16991,5.6,2016,"Fond du Lac, WI"
46401,13.9,5.9,38210,28840,64996,19.9,17.2,33879,53915,5722.0,13020,31117,13766,17.4,2016,"Forest City, NC"
220304,5.7,3.6,214870,186184,331145,9.7,11.4,165012,272629,7690.0,66885,166133,49390,13.2,2016,"Fort Collins, CO"
47490,9.4,16.9,41536,31244,69913,35.9,21.5,35745,55537,6257.0,16899,34168,11478,19.0,2016,"Fort Payne, AL"
187304,8.7,7.5,166121,124278,276882,24.9,18.2,141495,217603,6514.0,66788,135387,43973,18.0,2016,"Fort Smith, AR"
277835,6.6,4.6,256276,218028,424468,21.4,14.5,217431,328986,6518.0,109241,207037,58951,13.3,2016,"Fort Wayne, IN"
50081,7.0,0.9,43500,36593,70232,17.3,13.1,35296,57032,6785.0,14966,34936,11766,13.3,2016,"Frankfort, KY"
590970,13.9,5.1,574037,432271,966379,37.9,25.6,486124,717425,7160.0,278306,480255,114036,22.0,2016,"Fresno, CA"
70414,7.8,0.2,60909,43627,101432,25.0,16.7,51877,82132,6121.0,22493,49555,18030,16.3,2016,"Gadsden, AL"
169678,5.3,5.5,177978,131822,264934,23.1,23.0,137477,220037,8588.0,50130,127457,36826,26.7,2016,"Gainesville, FL"
126843,6.8,2.9,116482,94041,194975,18.5,13.2,98060,149609,8366.0,50570,96915,27923,12.5,2016,"Gainesville, GA"
44412,28.0,7.7,43918,28123,74081,50.6,36.9,38509,55133,8092.0,21959,35572,8204,31.8,2016,"Gallup, NM"
70085,6.8,1.3,58385,51933,97719,16.9,9.6,49329,80699,6031.0,20036,48390,19298,8.0,2016,"Gettysburg, PA"
90216,7.0,2.1,74823,64693,122557,13.8,10.3,62057,102351,5366.0,23320,60500,24414,10.3,2016,"Glens Falls, NY"
51209,10.2,7.8,48389,45630,75768,10.7,8.0,38689,59447,6467.0,18432,37079,8947,6.5,2016,"Glenwood Springs, CO"
80757,10.5,2.6,73573,53052,120609,32.9,22.0,62536,95103,6014.0,28778,58073,18258,20.7,2016,"Goldsboro, NC"
61818,13.7,4.0,61897,54745,97005,19.5,16.5,47580,77549,7115.0,21605,49425,13503,16.1,2016,"Grand Forks, ND"
54932,11.1,3.5,48892,44884,84230,15.7,11.0,42327,64013,5663.0,22325,41903,13013,8.8,2016,"Grand Island, NE"
99887,5.5,1.6,86997,74641,147060,18.4,16.0,73867,117195,6642.0,33623,73193,26440,18.2,2016,"Grand Junction, CO"
674816,6.0,3.8,633971,543770,1021923,13.6,11.2,517652,800095,6771.0,249295,504271,138657,11.4,2016,"Grand Rapids, MI"
63335,11.9,2.0,47264,34999,84426,14.7,17.6,44299,71732,7019.0,15189,40127,21973,21.1,2016,"Grants Pass, OR"
54480,12.5,1.9,47165,38069,79509,18.5,14.9,39236,63336,6515.0,17767,40273,14577,14.3,2016,"Great Falls, MT"
186011,8.3,6.6,177276,146654,288279,13.3,11.9,143193,218867,7123.0,77355,145086,33648,12.0,2016,"Greeley, CO"
213155,7.7,2.6,191082,171870,309666,11.3,9.4,154630,245998,6324.0,72354,155036,46230,9.1,2016,"Green Bay, WI"
48384,9.8,13.3,39661,29534,66289,25.5,16.8,33560,55808,5315.0,12440,32729,14188,16.7,2016,"Greeneville, TN"
52301,5.2,4.7,43719,39828,69228,14.5,8.7,35407,58992,6277.0,12088,33821,13421,8.3,2016,"Greenfield Town, MA"
506125,10.5,3.2,454249,367091,736713,25.7,17.7,383256,587781,7193.0,168444,353457,114020,16.6,2016,"Greensboro, NC"
105575,11.6,1.1,112184,89542,170253,21.9,21.7,89327,137104,8283.0,37685,80926,20384,23.4,2016,"Greenville, NC"
590409,7.8,3.3,527314,432192,861258,17.3,13.0,442461,686003,6957.0,196746,418797,137198,12.7,2016,"Greenville, SC"
61219,9.2,0.2,52885,42992,91699,38.9,21.9,48436,73227,7128.0,22128,43263,16686,18.7,2016,"Greenwood, SC"
51048,41.0,11.7,45553,23811,76095,58.9,48.8,40796,60433,7548.0,17185,35299,13357,47.3,2016,"Guayama, PR"
257874,11.3,5.0,236249,185852,383432,30.4,18.8,199532,304895,6501.0,90861,183900,56322,16.1,2016,"Gulfport, MS"
176521,8.5,7.6,155747,127830,253967,18.8,14.0,130636,201185,6163.0,59165,123331,39055,13.6,2016,"Hagerstown, MD"
82887,12.2,7.1,78427,60171,127260,28.7,20.4,64423,99080,6270.0,31657,62837,17176,18.8,2016,"Hammond, LA"
80718,10.4,3.6,80558,60886,134875,20.1,16.0,66336,98707,7530.0,40201,68539,14116,14.9,2016,"Hanford, CA"
387228,5.9,1.9,338035,292439,548721,13.8,9.4,282299,443809,7154.0,119368,266422,91318,8.8,2016,"Harrisburg, PA"
79221,10.1,6.0,78541,65709,123310,15.9,18.1,61422,100883,8371.0,25421,61888,19348,20.8,2016,"Harrisonburg, VA"
816278,7.0,1.6,729042,643058,1163990,13.6,10.1,597775,950420,6394.0,244388,566215,190560,9.8,2016,"Hartford, CT"
92820,13.3,7.8,90097,72554,144225,28.2,19.8,77138,112747,6562.0,35685,67087,18443,17.7,2016,"Hattiesburg, MS"
54033,8.3,3.8,45426,39925,76337,9.4,10.2,38940,61272,6842.0,17047,37397,13864,11.0,2016,"Helena, MT"
53692,12.1,12.8,49510,41398,85289,19.1,17.1,42848,64869,6371.0,23534,42441,12245,17.3,2016,"Hermiston, OR"
253294,9.4,2.5,215624,174936,356330,22.1,15.8,180807,290898,6941.0,75199,175523,65507,15.5,2016,"Hickory, NC"
138057,11.3,1.6,115301,90847,195238,16.6,15.4,98347,157274,7199.0,42448,96891,37489,16.4,2016,"Hilo, HI"
149013,5.0,2.3,111518,92294,205901,18.1,10.3,107245,167403,5447.0,41993,98656,52390,9.8,2016,"Hilton Head Island, SC"
47396,11.1,2.2,50081,30728,80065,22.7,14.4,41256,59571,7969.0,22248,38809,7736,11.1,2016,"Hinesville, GA"
40081,7.2,3.8,39018,29061,67384,34.6,21.3,34181,48237,5965.0,21228,33203,7138,16.6,2016,"Hobbs, NM"
77699,6.0,1.2,68350,58049,114080,8.2,7.7,57128,89607,7140.0,27764,56952,17966,7.9,2016,"Holland, MI"
113369,7.0,2.0,70810,50586,139572,29.8,16.9,73441,123414,5885.0,18527,66131,50235,20.5,2016,"Homosassa Springs, FL"
68216,9.4,1.9,54617,46268,95579,36.4,18.6,49461,78067,6158.0,20043,46118,20919,15.7,2016,"Hot Springs, AR"
138156,9.9,6.6,127797,95030,206460,31.5,20.9,105601,161248,6938.0,50164,100859,28499,19.2,2016,"Houma, LA"
4276841,10.2,3.5,4191323,3419610,6682600,21.7,14.8,3369785,5079705,7080.0,1798243,3312815,693034,12.5,2016,"Houston, TX"
246030,10.3,8.5,211000,151570,351677,24.1,18.7,179784,285282,6570.0,76084,171893,64593,19.3,2016,"Huntington, WV"
301769,8.4,4.8,275358,225686,437846,19.3,14.0,223201,350898,6941.0,98946,214645,63542,13.3,2016,"Huntsville, AL"
42931,2.8,5.7,43966,31923,69060,17.6,20.6,34551,56590,8495.0,13655,34509,11439,26.1,2016,"Huntsville, TX"
40574,8.5,11.4,34869,30292,60575,24.6,15.9,31065,48036,6625.0,14498,29510,11208,14.6,2016,"Hutchinson, KS"
86245,6.0,5.5,79061,66391,142165,13.0,10.8,70423,102701,6819.0,44409,71742,18695,10.7,2016,"Idaho Falls, ID"
55669,8.2,13.0,50004,39308,80760,28.3,21.3,40161,67127,6965.0,15356,40599,15400,23.3,2016,"Indiana, PA"
1304374,6.3,2.9,1215453,1040540,1959659,19.4,13.3,1011186,1521500,7224.0,492139,948473,252067,12.3,2016,"Indianapolis, IN"
99986,8.0,3.2,105638,91962,159202,15.1,17.7,81756,128127,7706.0,34636,77446,18928,20.3,2016,"Iowa City, IA"
59971,3.9,2.5,63316,50385,90843,17.9,20.2,46112,77473,8461.0,14451,44731,13076,24.1,2016,"Ithaca, NY"
103469,3.8,2.7,89752,72027,148983,19.4,13.2,75816,119480,7427.0,33605,73167,25626,13.5,2016,"Jackson, MI"
370158,8.3,4.8,342005,283173,558722,23.7,16.2,294476,434738,6929.0,139825,264246,76892,14.9,2016,"Jackson, MS"
84301,9.9,2.5,74304,55100,124438,25.0,17.8,64743,98322,7005.0,29416,59695,20718,17.1,2016,"Jackson, TN"
1004313,8.1,2.8,901018,727765,1447800,16.6,12.5,745347,1155961,7125.0,329042,702453,217740,12.0,2016,"Jacksonville, FL"
98920,7.0,8.5,110069,71189,173578,17.6,13.1,84482,131385,6353.0,46437,89096,17072,12.1,2016,"Jacksonville, NC"
87342,8.3,3.4,74376,57328,124169,31.0,20.1,63398,100621,6789.0,26319,60771,23474,19.9,2016,"Jamestown, NY"
108162,6.6,3.3,95978,81818,158185,21.2,13.3,80096,125041,6549.0,37383,78089,24824,12.0,2016,"Janesville, WI"
94576,5.3,0.8,83633,73163,137654,10.1,8.6,70296,109557,6864.0,31591,67358,22430,9.0,2016,"Jefferson City, MO"
137632,8.6,8.3,118378,93749,193926,22.8,17.2,97558,159743,6147.0,38900,96368,36648,18.0,2016,"Johnson City, TN"
93504,9.1,4.3,74794,60156,127652,25.5,15.9,64781,105643,6221.0,24870,62871,27988,15.3,2016,"Johnstown, PA"
82816,10.0,1.9,76058,61251,124401,20.6,17.6,62933,97960,6065.0,30247,61468,18096,18.1,2016,"Jonesboro, AR"
115466,7.3,4.8,103764,86383,174887,22.3,16.7,89450,135608,6514.0,44235,85437,26888,16.8,2016,"Joplin, MO"
115742,6.6,3.4,100355,88803,162705,8.6,8.3,81603,130909,8343.0,35275,81102,27075,8.7,2016,"Kahului, HI"
212072,6.5,3.6,205720,171903,327273,22.9,17.2,166532,263068,6731.0,72833,160741,48720,17.7,2016,"Kalamazoo, MI"
68724,5.3,4.0,58437,48793,97077,16.4,11.9,49123,77605,5069.0,21417,47954,17223,12.2,2016,"Kalispell, MT"
70555,10.3,4.6,63398,51650,105009,21.9,13.7,53584,82976,6340.0,25083,51425,16528,11.2,2016,"Kankakee, IL"
1395267,6.8,3.0,1277000,1123009,2069934,15.6,10.9,1055376,1621586,6751.0,506813,1014558,286121,10.0,2016,"Kansas City, MO"
49928,7.8,1.4,42079,38415,71444,3.9,6.1,36753,56896,8228.0,16113,34691,13252,6.3,2016,"Kapaa, HI"
52101,3.8,2.3,44446,39372,70960,5.5,7.0,35378,59765,7212.0,12954,35582,13560,8.5,2016,"Keene, NH"
172997,8.7,6.9,163883,132385,279496,16.5,11.8,140167,207208,6286.0,81440,139329,34173,10.1,2016,"Kennewick, WA"
59224,8.5,7.1,49136,43435,77961,11.7,9.7,37236,67486,5836.0,11783,40725,17042,9.6,2016,"Key West, FL"
253975,8.7,4.1,249642,183390,410410,18.1,12.7,208084,307263,7165.0,115618,202326,45150,10.9,2016,"Killeen, TX"
219892,8.9,3.0,179507,133203,300878,27.5,18.2,154317,248604,6743.0,59168,146561,62203,18.4,2016,"Kingsport, TN"
125218,10.8,4.7,106997,90678,171126,17.7,14.1,86561,142938,7750.0,31591,84565,32538,14.0,2016,"Kingston, NY"
45640,4.7,3.0,38061,28794,65509,29.7,19.0,32307,53072,6493.0,14182,33202,13266,20.0,2016,"Klamath Falls, OR"
592625,8.1,4.7,520813,419061,848991,17.3,14.4,434566,691424,6744.0,178713,414425,149465,15.3,2016,"Knoxville, TN"
56651,7.6,6.7,47374,38612,81582,18.8,15.0,42044,66180,6220.0,18588,39538,15620,16.0,2016,"Kokomo, IN"
87579,7.8,4.0,83371,74703,131730,11.5,13.3,67603,107621,7103.0,27200,64127,21159,15.4,2016,"La Crosse, WI"
316898,13.6,3.6,300284,234882,481035,26.5,20.3,248440,376337,7568.0,119150,232595,61601,19.2,2016,"Lafayette, LA"
121294,5.6,1.7,129669,106992,199493,16.3,18.0,99184,158820,7625.0,45316,100309,24508,20.9,2016,"Lafayette, IN"
44297,12.7,3.3,41459,34091,68200,32.4,21.7,35410,52692,6383.0,17194,32790,9547,19.3,2016,"LaGrange, GA"
136045,12.3,9.3,124727,95524,204130,30.3,20.8,104327,159794,6185.0,50517,99803,28886,18.9,2016,"Lake Charles, LA"
44762,7.9,5.3,37496,27034,64115,17.8,14.7,33042,51452,7080.0,14490,31073,12129,15.7,2016,"Lake City, FL"
151887,9.4,2.3,105881,77329,200525,24.5,17.8,101296,169478,7078.0,36011,99229,58633,20.1,2016,"Lake Havasu City, AZ"
454356,10.1,2.9,374202,292014,652803,25.9,16.4,335061,521895,7057.0,147063,317742,131538,14.9,2016,"Lakeland, FL"
355341,6.3,2.4,312004,277792,525628,17.8,11.0,267747,413174,7460.0,126065,257881,87559,9.6,2016,"Lancaster, PA"
299206,6.4,4.1,291013,241869,453674,21.8,16.7,233901,368242,7058.0,96253,219773,66408,17.4,2016,"Lansing, MI"
146363,25.2,5.5,152115,106056,267800,45.0,33.0,138834,185594,6736.0,91562,128966,24123,26.9,2016,"Laredo, TX"
127638,11.4,5.7,123293,95659,208446,40.7,27.1,106691,162037,6915.0,52890,101755,32263,25.3,2016,"Las Cruces, NM"
1449829,8.7,3.8,1328813,1083008,2126703,19.9,14.2,1070437,1686393,7733.0,496834,1056266,301056,13.4,2016,"Las Vegas, NV"
55896,7.7,10.6,48582,35254,83783,32.2,20.7,43186,64342,4884.0,21403,40597,13798,19.3,2016,"Laurel, MS"
68479,5.6,9.0,76817,69527,111540,10.6,17.1,55937,92777,7554.0,21634,55603,13089,20.9,2016,"Lawrence, KS"
76007,9.0,5.2,73783,55409,117672,22.4,14.8,58583,91562,6647.0,29465,59089,14424,12.9,2016,"Lawton, OK"
92824,4.5,5.6,79194,68999,134998,12.9,9.3,69523,107341,6020.0,31145,65475,24659,9.4,2016,"Lebanon, PA"
43835,7.1,5.0,36179,29603,61406,22.7,15.9,31528,51065,5904.0,12288,29878,12939,16.8,2016,"Lewiston, ID"
73821,6.8,2.9,64453,55149,103997,19.2,12.1,53203,83921,6457.0,22365,50794,17179,11.0,2016,"Lewiston, ME"
326883,7.2,2.4,314526,267985,488829,25.2,17.1,250684,390996,6454.0,109269,238145,65034,16.3,2016,"Lexington, KY"
65796,8.3,3.1,59113,51138,99245,21.3,15.0,51197,78741,6159.0,23656,48048,16476,14.4,2016,"Lima, OH"
198404,5.3,4.6,195734,181392,311873,13.6,12.4,157209,246103,6716.0,73878,154664,42261,13.4,2016,"Lincoln, NE"
482481,9.8,3.5,444521,352808,719446,22.3,15.9,370154,567350,7024.0,171125,349292,103800,14.9,2016,"Little Rock, AR"
68796,5.5,7.1,78338,66766,132932,11.2,12.3,67287,95382,6287.0,41502,65645,13092,14.0,2016,"Logan, UT"
82006,17.1,4.9,76450,47240,124107,38.2,30.6,64187,97778,7164.0,29844,59920,17813,30.8,2016,"London, KY"
135888,9.7,5.7,122963,97057,207793,24.0,15.9,105272,159522,6127.0,53463,102521,31367,13.9,2016,"Longview, TX"
72412,12.2,2.0,60869,46682,102921,19.6,16.8,53004,84029,6995.0,22511,49917,19541,17.3,2016,"Longview, WA"
8969313,12.1,3.9,8481764,6874309,13125329,21.2,15.0,6659481,10552288,7269.0,2925046,6465848,1718519,13.5,2016,"Los Angeles, CA"
865625,7.5,3.4,781972,666992,1257116,17.9,12.7,645339,1003390,6337.0,288494,611777,186650,12.0,2016,"Louisville/Jefferson County, KY"
182088,7.4,6.4,189297,151908,301279,21.3,19.6,154482,233267,8186.0,74862,146797,37120,21.3,2016,"Lubbock, TX"
54650,7.4,1.5,49968,35578,84913,27.6,19.9,44462,65270,7019.0,22119,40451,12826,19.7,2016,"Lufkin, TX"
84086,17.5,6.2,78249,53732,129490,38.6,27.3,68178,100289,7033.0,33099,61312,18142,24.7,2016,"Lumberton, NC"
170442,8.5,3.4,150538,124863,248416,19.5,13.5,130276,202603,6465.0,51906,118140,45972,12.9,2016,"Lynchburg, VA"
148679,16.5,6.8,131212,97087,219250,29.5,21.7,114992,172571,6311.0,53702,104258,34336,19.9,2016,"Macon, GA"
89491,10.7,4.8,84713,63490,146347,32.4,20.3,75043,109081,7649.0,41762,71304,19872,16.6,2016,"Madera, CA"
424997,5.2,2.6,411417,376939,632520,10.1,10.6,318606,512146,6825.0,135139,313914,85964,11.9,2016,"Madison, WI"
282653,5.9,1.6,257251,231272,399477,9.8,8.2,198807,325238,7004.0,84338,200670,57888,8.1,2016,"Manchester, NH"
50716,2.5,10.3,59753,46720,87665,6.9,16.5,42393,70868,7648.0,18943,45272,8969,21.6,2016,"Manhattan, KS"
56540,9.0,4.1,47500,42262,78138,7.1,8.9,39424,64616,6613.0,15553,38714,15085,9.4,2016,"Manitowoc, WI"
59237,5.5,4.0,61249,55921,94074,8.8,12.6,46988,76822,7231.0,19594,47086,13231,15.4,2016,"Mankato, MN"
79427,6.7,4.6,66753,54145,113376,20.4,15.6,57676,91592,6916.0,25161,55700,21462,16.7,2016,"Mansfield, OH"
46677,8.2,4.2,37037,30311,62322,15.0,11.8,30977,52553,5156.0,11231,31345,14054,12.1,2016,"Marinette, WI"
43536,8.1,5.3,36121,28276,62016,33.2,21.2,31511,49931,7099.0,13683,30505,12212,21.1,2016,"Marion, IN"
41296,8.0,4.2,35731,27707,58630,18.6,12.1,29924,47789,7091.0,12701,28706,10198,11.0,2016,"Marion, OH"
42595,6.7,7.1,38863,30605,62151,12.3,16.3,30527,51822,8272.0,11953,31624,11335,20.2,2016,"Marquette, MI"
42784,9.8,13.7,38135,29244,64801,26.0,18.1,33841,50318,7670.0,16658,30960,10008,16.8,2016,"Marshall, TX"
46719,9.6,6.2,37596,27300,64713,35.5,19.1,34969,52850,4319.0,13433,29744,13684,16.7,2016,"Martinsville, VA"
63770,38.8,1.5,53178,31057,93125,72.9,52.1,49029,78770,8460.0,17052,44096,22895,51.2,2016,"Mayaguez, PR"
467334,19.6,6.6,467501,339171,840303,44.2,31.4,431535,589587,6153.0,280818,408768,91984,26.1,2016,"McAllen, TX"
58859,8.5,5.7,48507,39625,82331,18.6,13.7,41937,66774,6494.0,17455,40394,16369,13.7,2016,"Meadville, PA"
153290,5.9,7.3,125019,101660,214580,16.2,14.3,109972,174818,6180.0,44687,104608,44874,16.7,2016,"Medford, OR"
867870,9.5,4.3,814781,656323,1319884,30.8,19.4,692148,1024454,6776.0,333429,627736,171674,16.8,2016,"Memphis, TN"
156046,11.4,4.6,154967,115926,263035,27.1,20.3,131138,191567,6990.0,79597,131897,28471,18.4,2016,"Merced, CA"
64113,11.1,4.1,56253,40645,96234,35.2,23.2,50100,74358,6811.0,24118,46134,15863,21.5,2016,"Meridian, MS"
4285898,15.1,4.5,3705764,3091503,5989802,21.5,15.4,3094033,4908550,6950.0,1225643,2895769,1058395,13.5,2016,"Miami, FL"
70002,5.8,1.9,60880,52136,101946,32.1,16.2,52036,80777,8495.0,23423,49910,17643,13.1,2016,"Michigan City, IN"
58037,6.0,6.3,50315,40213,81940,5.5,8.2,41335,66597,5247.0,17507,40605,14118,9.7,2016,"Midland, MI"
103459,9.4,1.6,101656,86882,165539,9.4,8.3,82837,122686,5621.0,47040,82702,16843,7.6,2016,"Midland, TX"
1051951,8.7,3.3,955690,825892,1544234,19.8,13.9,793880,1223874,6538.0,364396,750354,224148,12.9,2016,"Milwaukee, WI"
2371514,6.5,2.8,2204873,1994923,3492271,11.5,8.8,1763649,2750135,6430.0,836183,1728622,451215,8.3,2016,"Minneapolis, MN"
49775,3.8,1.6,48790,42416,76638,6.3,7.8,36724,60193,7080.0,18198,39914,9650,9.2,2016,"Minot, ND"
77390,6.9,6.4,75182,65953,113356,18.9,16.5,55358,94341,5970.0,21819,57998,16355,17.9,2016,"Missoula, MT"
272847,10.2,5.0,245330,185673,404347,30.6,19.4,214248,319641,6554.0,96897,190099,62120,17.3,2016,"Mobile, AL"
340009,10.1,5.7,323815,251373,536626,18.2,14.2,273517,407517,6878.0,145002,263109,67809,13.3,2016,"Modesto, CA"
112891,13.1,5.9,102165,76064,173469,37.2,24.0,90858,133826,6598.0,45440,82611,25864,20.8,2016,"Monroe, LA"
103457,7.0,2.5,90953,72655,148024,11.0,9.7,74888,120326,6674.0,32525,73136,24546,9.9,2016,"Monroe, MI"
244645,7.6,4.4,224133,175288,363010,28.4,17.5,192065,285493,6364.0,86501,170945,52376,15.6,2016,"Montgomery, AL"
208928,9.7,3.4,185576,152256,307980,22.2,15.4,157540,243144,7087.0,73172,150440,49232,14.3,2016,"South Bend, IN"
218107,8.9,4.8,194516,157889,319772,29.3,16.8,165272,254520,6626.0,74087,154500,51169,14.1,2016,"Spartanburg, SC"
372473,7.5,3.0,331840,262035,540647,14.5,13.0,274144,431684,6542.0,121651,266503,87156,13.8,2016,"Spokane, WA"
141659,7.7,3.8,124418,105412,205093,21.2,14.1,105436,163603,6689.0,47200,99657,33475,13.1,2016,"Springfield, IL"
409369,9.1,1.9,370789,312718,592201,25.0,15.6,306936,484343,6514.0,124300,285265,97112,14.2,2016,"Springfield, MA"
292743,8.9,6.8,269879,219456,441276,18.2,15.8,223918,352144,7017.0,100867,217358,70530,16.7,2016,"Springfield, MO"
90523,10.2,3.4,77497,65272,131522,20.6,15.6,68056,105464,6207.0,30210,63466,23815,15.3,2016,"Springfield, OH"
94845,6.4,4.0,97889,76566,142595,11.0,18.0,68726,121647,8162.0,24162,73869,20544,22.1,2016,"State College, PA"
40317,11.6,19.1,43675,34235,66003,28.4,25.1,32690,53097,7905.0,14252,33313,8076,26.5,2016,"Statesboro, GA"
83385,7.8,3.1,68522,59372,116232,15.8,10.9,61327,94981,6102.0,24021,54905,23689,10.3,2016,"Staunton, VA"
44907,8.4,4.4,42846,37527,66741,11.4,11.9,33078,55282,6854.0,13043,33663,10852,12.9,2016,"Stevens Point, WI"
41877,12.2,2.7,48214,34860,73352,21.1,27.9,36332,59137,8427.0,15440,37020,9698,33.2,2016,"Stillwater, OK"
454849,10.2,3.6,434233,334894,720252,18.6,14.4,362695,545599,7694.0,197598,357557,88421,13.3,2016,"Stockton, CA"
68537,13.7,16.2,62794,46709,105018,28.8,21.2,54375,82143,6000.0,25965,50643,16259,19.9,2016,"Sumter, SC"
