total_estimate_educational_attainment_population_25_years_and_over,percent_below_poverty_level_estimate_age_65_years_and_over,"percent_below_poverty_level_estimate_worked_full-time,_year-round_in_the_past_12_months",total_estimate_age_18_to_64_years,total_estimate_employment_status_civilian_labor_force_16_years_and_over,total_estimate_population_for_whom_poverty_status_is_determined,percent_below_poverty_level_estimate_age_under_18_years,percent_below_poverty_level_estimate_population_for_whom_poverty_status_is_determined,total_estimate_sex_female,total_estimate_work_experience_population_16_years_and_over,total_estimate_mean_income_deficit_for_unrelated_individuals_(dollars),total_estimate_age_under_18_years,total_estimate_sex_male,total_estimate_age_65_years_and_over,percent_below_poverty_level_estimate_age_18_to_64_years,Year,city_name
36080,11.0,6.5,32277,28264,52372,26.0,16.7,25164,42091,4765.0,11356,27208,8739,14.9,2010,"Carson City, NV"
49969,9.0,0.8,47228,41634,74088,9.9,6.8,36556,58826,5597.0,17610,37532,9250,5.2,2010,"Casper, WY"
169172,5.1,1.6,156246,141745,251914,11.2,9.2,127281,197650,5953.0,61837,124633,33831,9.3,2010,"Cedar Rapids, IA"
51038,9.1,5.9,44427,32936,74654,17.8,16.1,36955,59443,6435.0,17366,37699,12861,17.4,2010,"Centralia, WA"
100078,3.4,3.6,87399,75008,146460,13.0,9.2,74643,115669,5303.0,35037,71817,24024,9.2,2010,"Chambersburg, PA"
134205,7.1,4.2,141933,116159,211773,19.2,19.4,106944,171367,7408.0,45345,104829,24495,21.6,2010,"Champaign, IL"
213184,8.7,5.6,188972,140315,300640,19.8,14.6,156052,244409,5079.0,63899,144588,47769,14.4,2010,"Charleston, WV"
432896,9.2,3.2,422665,342071,649729,22.1,16.2,335797,513435,5846.0,151485,313932,75579,15.4,2010,"Charleston, SC"
1141390,7.6,2.1,1112400,937524,1737343,19.4,14.5,896826,1335760,6613.0,449618,840517,175325,13.6,2010,"Charlotte, NC"
129538,6.4,2.8,121134,97215,187361,9.5,12.3,96201,151761,7574.0,39839,91160,26388,14.5,2010,"Charlottesville, VA"
357358,5.6,3.3,326787,267426,520255,25.4,16.0,269305,415640,5846.0,117716,250950,75752,15.0,2010,"Chattanooga, TN"
61129,7.2,0.0,57242,46880,90926,18.3,13.1,45819,70618,6158.0,22103,45107,11581,12.3,2010,"Cheyenne, WY"
6141256,9.0,2.5,5931165,4964679,9336226,19.3,13.6,4775481,7259538,6557.0,2355831,4560745,1049230,12.1,2010,"Chicago, IL"
140541,8.2,4.0,137531,102486,214339,24.2,20.3,106618,175393,6285.0,44465,107721,32343,21.8,2010,"Chico, CA"
48924,5.8,3.5,44058,34067,71332,28.3,19.6,36237,55781,6464.0,17214,35095,10060,19.4,2010,"Chillicothe, OH"
1376803,7.2,3.3,1309206,1097698,2084969,19.7,14.0,1070392,1619144,6202.0,523910,1014577,251853,13.0,2010,"Cincinnati, OH"
66301,14.9,1.5,57101,40141,93171,24.9,17.9,46813,75307,6087.0,20297,46358,15773,16.3,2010,"Clarksburg, WV"
160157,9.9,3.7,160528,113252,257303,23.3,16.5,130651,192799,7096.0,70928,126652,25847,14.5,2010,"Clarksville, TN"
44420,7.7,0.0,40180,25922,64649,31.8,22.0,33320,52788,4993.0,13188,31329,11281,22.8,2010,"Clearlake, CA"
76153,10.2,1.6,70195,53143,112396,27.7,20.5,56331,89811,5678.0,25117,56065,17084,20.4,2010,"Cleveland, TN"
1399810,7.9,2.1,1259910,1075481,2031170,23.9,15.1,1056643,1618894,6181.0,470803,974527,300457,13.6,2010,"Cleveland, OH"
45106,52.1,20.2,43111,24806,71449,58.4,51.4,36201,54810,7960.0,19117,35248,9221,48.2,2010,"Coamo, PR"
93104,9.2,3.1,84250,68326,138662,16.5,14.4,70009,108086,5331.0,34079,68653,20333,14.8,2010,"Coeur d'Alene, ID"
