City,Year,"Total Revenue","Individual Income Tax","Education Services Expenditure","Social Services and Income Maintenance Expenditure","Transportation Expenditure","Police Protection Expenditure","Environment and Housing Expenditure","Total Expenditures","Intergovernmental Expenditures","Current Operations","Assistance and Subsidies","Census ID - City","City Population"
"AL: Montgomery",2010,"4,856",0,"1,670","1,183",139,320,371,"4,835",0,"4,231",0,12051001,204282
"AL: Montgomery (City)",2010,"1,642",0,13,0,73,252,217,"1,359",0,"1,095",0,12051001
"AL: Montgomery (County)",2010,439,0,16,26,50,68,8,453,0,393,0
"AL: Montgomery",2011,"4,780",0,"1,443","1,203",129,289,455,"4,619",0,"3,966",0,12051001,205593
"AL: Montgomery (City)",2011,"1,561",0,17,0,74,227,248,"1,328",0,955,0,12051001
"AL: Montgomery (County)",2011,415,0,42,27,45,62,5,443,0,403,0
"AL: Montgomery",2012,"5,013",0,"1,341","1,375",117,288,413,"4,548",23,"3,898",0,12051001,205180
"AL: Montgomery (City)",2012,"1,932",0,17,0,65,227,241,"1,278",22,949,0,12051001
"AL: Montgomery (County)",2012,407,0,4,28,48,61,5,377,0,355,0
"AL: Montgomery",2013,"5,112",0,"1,411","1,595",116,330,398,"4,822",14,"4,222",0,12051001,203937
"AL: Montgomery (City)",2013,"1,809",0,15,0,65,269,250,"1,281",14,"1,020",0,12051001
"AL: Montgomery (County)",2013,405,0,4,24,47,60,4,389,0,341,0
"AL: Montgomery",2014,"5,268",0,"1,317","1,559",126,290,411,"4,741",0,"4,210",0,12051001,202426
"AL: Montgomery (City)",2014,"1,951",0,15,0,83,232,265,"1,333",0,"1,035",0,12051001
"AL: Montgomery (County)",2014,404,0,0,23,39,58,3,377,0,324,0
"AL: Montgomery",2015,"5,317",0,"1,342","1,586",155,297,409,"4,907",0,"4,302",0,12051001,201435
"AL: Montgomery (City)",2015,"1,856",0,14,0,106,240,263,"1,408",0,"1,041",0,12051001
"AL: Montgomery (County)",2015,423,0,0,25,46,57,3,416,0,346,0
"AL: Montgomery",2016,"5,305",0,"1,397","1,683",124,288,377,"4,918",2,"4,324",0,12051001,200993
"AL: Montgomery (City)",2016,"1,764",0,16,0,78,228,233,"1,280",0,978,0,12051001
"AL: Montgomery (County)",2016,431,0,0,10,43,60,2,395,1,339,0
"AL: Montgomery",2017,"5,467",0,"1,375","1,781",134,281,388,"5,394",2,"4,637",0,12051001,200360
"AL: Montgomery (City)",2017,"1,890",0,15,0,95,228,240,"1,723",0,"1,241",0,12051001
"AL: Montgomery (County)",2017,427,0,0,13,36,52,4,353,1,293,0
"AR: Ft. Smith",2010,"4,551",0,"2,141",3,566,213,542,"4,630",5,"3,390",0,42066003,85896
"AR: Ft. Smith (City)",2010,"1,838",0,42,1,527,199,397,"2,073",0,"1,223",0,42066003
"AR: Ft. Smith (County)",2010,516,0,2,1,39,14,12,298,0,264,0
"AR: Ft. Smith",2011,"4,350",0,"2,029",10,416,224,640,"4,813",5,"3,274",0,42066003,86297
"AR: Ft. Smith (City)",2011,"1,807",0,36,2,370,186,495,"2,330",0,"1,132",0,42066003
"AR: Ft. Smith (County)",2011,467,0,2,9,46,38,12,324,0,265,0
"AR: Ft. Smith",2012,"4,248",0,"1,952",10,303,229,599,"4,355",4,"3,167",0,42066003,87206
"AR: Ft. Smith (City)",2012,"1,798",0,33,2,258,192,450,"1,951",0,"1,113",0,42066003
