newidx,aggravated_assault,burglary,city,counties_principal_cities,forcible_rape,index,larceny_theft,main_city,motor_vehicle_theft,murder_and_nonnegligent_manslaughter,population,property_crime,rape1,robbery,state,violent_crime,year
"Parkersburg, WV",46,320.0,Parkersburg-Vienna,City of Parkersburg,,"Parkersburg-Vienna, WV M.S.A.",676.0,Parkersburg,64.0,2,30885,1060,13.0,10.0,WV,71,2015
"Vienna, WV",6,69.0,Parkersburg-Vienna,City of Vienna,,"Parkersburg-Vienna, WV M.S.A.",138.0,Vienna,0.0,0,10515,207,0.0,0.0,WV,6,2015
"Pensacola, FL",267,423.0,Pensacola-Ferry Pass-Brent,City of Pensacola,,"Pensacola-Ferry Pass-Brent, FL M.S.A.",1873.0,Pensacola,119.0,4,53331,2415,26.0,85.0,FL,382,2015
"Peoria, IL",384,1084.0,Peoria,City of Peoria,,"Peoria, IL M.S.A.",3224.0,Peoria,140.0,14,116066,4448,64.0,310.0,IL,772,2015
"Philadelphia, PA",7765,8083.0,Philadelphia-Camden-Wilmington,"City of Philadelphia, PA",,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.2",36228.0,Philadelphia PA,5034.0,280,1567810,49345,1322.0,6765.0,PA,16132,2015
"Wilmington, PA",733,690.0,Philadelphia-Camden-Wilmington,"City of Wilmington, DE",,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD M.S.A.2",2174.0,Wilmington DE,339.0,27,72078,3203,47.0,424.0,PA,1231,2015
"Phoenix, AZ",5113,12798.0,Phoenix-Mesa-Scottsdale,City of Phoenix,,"Phoenix-Mesa-Scottsdale, AZ M.S.A.",34288.0,Phoenix,7370.0,112,1559744,54456,1016.0,3020.0,AZ,9261,2015
"Mesa, AZ",1307,2219.0,Phoenix-Mesa-Scottsdale,City of Mesa,,"Phoenix-Mesa-Scottsdale, AZ M.S.A.",8861.0,Mesa,825.0,16,471034,11905,241.0,408.0,AZ,1972,2015
"Scottsdale, AZ",222,829.0,Phoenix-Mesa-Scottsdale,City of Scottsdale,,"Phoenix-Mesa-Scottsdale, AZ M.S.A.",4311.0,Scottsdale,192.0,6,233872,5332,106.0,100.0,AZ,434,2015
"Tempe, AZ",430,1108.0,Phoenix-Mesa-Scottsdale,City of Tempe,,"Phoenix-Mesa-Scottsdale, AZ M.S.A.",6175.0,Tempe,359.0,7,175556,7642,101.0,183.0,AZ,721,2015
"Pine Bluff, AR",423,921.0,Pine Bluff,City of Pine Bluff,,"Pine Bluff, AR M.S.A",1679.0,Pine Bluff,167.0,10,44466,2767,32.0,104.0,AR,569,2015
"Pittsburgh , PA",1170,2197.0,Pittsburgh,City of Pittsburgh ,,"Pittsburgh, PA M.S.A.",7097.0,Pittsburgh ,601.0,57,306870,9895,82.0,858.0,PA,2167,2015
"Pittsfield, MA",208,414.0,Pittsfield,City of Pittsfield,,"Pittsfield, MA M.S.A.",807.0,Pittsfield,49.0,4,43450,1270,38.0,34.0,MA,284,2015
"Pocatello , ID",169,344.0,Pocatello,City of Pocatello ,,"Pocatello, ID M.S.A.",1183.0,Pocatello ,103.0,1,54272,1630,21.0,6.0,ID,197,2015
"Portland, ME",81,266.0,Portland-South Portland,City of Portland,,"Portland-South Portland, ME M.S.A.",1687.0,Portland,69.0,2,66816,2022,33.0,99.0,ME,215,2015
"South Portland, ME",11,57.0,Portland-South Portland,City of South Portland,,"Portland-South Portland, ME M.S.A.",528.0,South Portland,17.0,0,25540,602,9.0,4.0,ME,24,2015
"Port St Lucie, FL",211,392.0,Port St. Lucie,City of Port St. Lucie,,"Port St. Lucie, FL M.S.A.",1929.0,Port St Lucie,85.0,2,176364,2406,18.0,29.0,FL,260,2015
"Prescott, AZ",109,140.0,Prescott,City of Prescott,,"Prescott, AZ M.S.A.",884.0,Prescott,37.0,4,41393,1061,11.0,13.0,AZ,137,2015
"Providence R, RI",612,1282.0,Providence-Warwick,"City of Providence, RI ",,"Providence-Warwick, RI-MA M.S.A.",4256.0,Providence RI ,546.0,15,179522,6084,109.0,282.0,RI,1018,2015
"Warwick, RI",32,174.0,Providence-Warwick,"City of Warwick, RI",,"Providence-Warwick, RI-MA M.S.A.",1327.0,Warwick RI,67.0,2,81854,1568,21.0,11.0,RI,66,2015
"Provo , UT",77,245.0,Provo-Orem,City of Provo ,,"Provo-Orem, UT M.S.A.",1959.0,Provo ,147.0,0,115294,2351,60.0,16.0,UT,153,2015
"Orem, UT",17,196.0,Provo-Orem,City of Orem,,"Provo-Orem, UT M.S.A.",1784.0,Orem,123.0,1,92577,2103,8.0,14.0,UT,40,2015
"Pueblo, CO",618,2060.0,Pueblo,City of Pueblo,,"Pueblo, CO M.S.A.",4318.0,Pueblo,896.0,12,108810,7274,170.0,186.0,CO,986,2015
"Punta Gorda , FL",15,16.0,Punta Gorda,City of Punta Gorda ,,"Punta Gorda, FL M.S.A.",200.0,Punta Gorda ,14.0,1,17841,230,1.0,5.0,FL,22,2015
"Racine, WI",190,774.0,Racine,City of Racine,,"Racine, WI M.S.A.",1528.0,Racine,96.0,4,77887,2398,16.0,154.0,WI,364,2015
"Rapid City , SD",328,451.0,Rapid City,City of Rapid City ,,"Rapid City, SD M.S.A.",2191.0,Rapid City ,227.0,7,73801,2869,92.0,68.0,SD,495,2015
"Reading , PA",359,728.0,Reading,City of Reading ,,"Reading, PA M.S.A.",1572.0,Reading ,251.0,13,87744,2551,37.0,291.0,PA,700,2015
"Redding , CA",417,769.0,Redding,City of Redding ,,"Redding, CA M.S.A.",2888.0,Redding ,512.0,2,92020,4169,50.0,145.0,CA,614,2015
"Reno, NV",923,1440.0,Reno,City of Reno,,"Reno, NV M.S.A.",5070.0,Reno,1021.0,15,239721,7531,136.0,345.0,NV,1419,2015
"Richmond , VA",547,1605.0,Richmond,City of Richmond ,,"Richmond, VA M.S.A.",6171.0,Richmond ,872.0,43,220802,8648,60.0,489.0,VA,1139,2015
"Riverside , CA",774,1633.0,Riverside-San Bernardino-Ontario,City of Riverside ,,"Riverside-San Bernardino-Ontario, CA M.S.A.",7144.0,Riverside ,1754.0,10,323064,10531,137.0,520.0,CA,1441,2015
"San Bernardino, CA",1587,3164.0,Riverside-San Bernardino-Ontario,City of San Bernardino,,"Riverside-San Bernardino-Ontario, CA M.S.A.",4210.0,San Bernardino,3016.0,44,216477,10390,98.0,968.0,CA,2697,2015
"Ontario, CA",296,897.0,Riverside-San Bernardino-Ontario,City of Ontario,,"Riverside-San Bernardino-Ontario, CA M.S.A.",3206.0,Ontario,1066.0,3,170274,5169,31.0,217.0,CA,547,2015
"Corona, CA",79,615.0,Riverside-San Bernardino-Ontario,City of Corona,,"Riverside-San Bernardino-Ontario, CA M.S.A.",2646.0,Corona,466.0,5,163633,3727,30.0,98.0,CA,212,2015
"Victorville, CA",493,1095.0,Riverside-San Bernardino-Ontario,City of Victorville,,"Riverside-San Bernardino-Ontario, CA M.S.A.",2285.0,Victorville,628.0,6,123332,4008,49.0,229.0,CA,777,2015
"Temecula, CA",58,459.0,Riverside-San Bernardino-Ontario,City of Temecula,,"Riverside-San Bernardino-Ontario, CA M.S.A.",2116.0,Temecula,342.0,1,111673,2917,8.0,47.0,CA,114,2015
"Chino, CA",147,375.0,Riverside-San Bernardino-Ontario,City of Chino,,"Riverside-San Bernardino-Ontario, CA M.S.A.",1501.0,Chino,262.0,0,86344,2138,21.0,53.0,CA,221,2015
"Redlands, CA",102,514.0,Riverside-San Bernardino-Ontario,City of Redlands,,"Riverside-San Bernardino-Ontario, CA M.S.A.",2264.0,Redlands,433.0,2,71078,3211,34.0,74.0,CA,212,2015
"Roanoke, VA",222,464.0,Roanoke,City of Roanoke,,"Roanoke, VA M.S.A.",3163.0,Roanoke,189.0,11,99827,3816,37.0,67.0,VA,337,2015
"Rochester, MN",100,468.0,Rochester,City of Rochester,,"Rochester, MN M.S.A.",1987.0,Rochester,91.0,1,112542,2546,47.0,50.0,MN,198,2015
"Rochester, NY",1018,1753.0,Rochester,City of Rochester,,"Rochester, NY M.S.A.",5779.0,Rochester,734.0,33,209922,8266,148.0,640.0,NY,1839,2015
"Rockford, IL",1678,1440.0,Rockford,City of Rockford,,"Rockford, IL M.S.A.",3928.0,Rockford,488.0,19,148176,5856,148.0,504.0,IL,2349,2015
"Rocky Mount , NC",310,640.0,Rocky Mount,City of Rocky Mount ,,"Rocky Mount, NC M.S.A.",1610.0,Rocky Mount ,76.0,12,55978,2326,14.0,106.0,NC,442,2015
"Rome, GA",139,267.0,Rome,City of Rome,,"Rome, GA M.S.A.",1410.0,Rome,98.0,4,35921,1775,18.0,49.0,GA,210,2015
"Sacramento, CA",2289,3713.0,Sacramento–Roseville–Arden-Arcade,City of Sacramento,,"Sacramento–Roseville–Arden-Arcade, CA M.S.A.",9865.0,Sacramento,2923.0,43,489717,16501,105.0,1174.0,CA,3611,2015
"Roseville, CA",132,521.0,Sacramento–Roseville–Arden-Arcade,City of Roseville,,"Sacramento–Roseville–Arden-Arcade, CA M.S.A.",2469.0,Roseville,305.0,0,131039,3295,23.0,84.0,CA,239,2015
"Folsom, CA",40,210.0,Sacramento–Roseville–Arden-Arcade,City of Folsom,,"Sacramento–Roseville–Arden-Arcade, CA M.S.A.",899.0,Folsom,76.0,1,76183,1185,15.0,15.0,CA,71,2015
"Saginaw, MI",540,460.0,Saginaw,City of Saginaw,,"Saginaw, MI M.S.A.",553.0,Saginaw,77.0,7,49459,1090,58.0,87.0,MI,692,2015
"Salem , OR",361,734.0,Salem,City of Salem ,,"Salem, OR M.S.A.",5222.0,Salem ,711.0,5,163320,6667,44.0,127.0,OR,537,2015
"Salinas, CA",613,679.0,Salinas,City of Salinas,,"Salinas, CA M.S.A.",1534.0,Salinas,1932.0,40,158185,4145,76.0,369.0,CA,1098,2015
"Salisbury, MD",180,262.0,Salisbury,"City of Salisbury, MD",,"Salisbury, MD-DE M.S.A.",1493.0,Salisbury MD,47.0,3,33125,1802,23.0,105.0,MD,311,2015
"Salt Lake City, UT",874,2036.0,Salt Lake City,City of Salt Lake City,,"Salt Lake City, UT M.S.A.",13679.0,Salt Lake City,2199.0,8,191992,17914,291.0,469.0,UT,1642,2015
"San Angelo, TX",265,737.0,San Angelo,City of San Angelo,,"San Angelo, TX M.S.A.",3101.0,San Angelo,251.0,3,100356,4089,56.0,30.0,TX,354,2015
"San Antonio, TX",5465,11632.0,San Antonio-New Braunfels,City of San Antonio,,"San Antonio-New Braunfels, TX M.S.A.",55803.0,San Antonio,6176.0,94,1463586,73611,1049.0,1986.0,TX,8594,2015
"New Braunfels, TX",121,270.0,San Antonio-New Braunfels,City of New Braunfels,,"San Antonio-New Braunfels, TX M.S.A.",1624.0,New Braunfels,164.0,2,68641,2058,21.0,31.0,TX,175,2015
"San Diego, CA",3601,5129.0,San Diego-Carlsbad,City of San Diego,,"San Diego-Carlsbad, CA M.S.A.",18933.0,San Diego,5096.0,37,1400467,29158,566.0,1378.0,CA,5582,2015
"Carlsbad, CA",101,366.0,San Diego-Carlsbad,City of Carlsbad,,"San Diego-Carlsbad, CA M.S.A.",1627.0,Carlsbad,141.0,0,113972,2134,33.0,38.0,CA,172,2015
"San Francisco, CA",2703,5186.0,San Francisco-Oakland-Hayward,City of San Francisco,,"San Francisco-Oakland-Hayward, CA M.S.A.",40918.0,San Francisco,6915.0,53,863782,53019,344.0,3610.0,CA,6710,2015
"Oakland, CA",2391,3333.0,San Francisco-Oakland-Hayward,City of Oakland,,"San Francisco-Oakland-Hayward, CA M.S.A.",14846.0,Oakland,6389.0,85,419481,24568,285.0,3290.0,CA,6051,2015
"Hayward, CA",177,729.0,San Francisco-Oakland-Hayward,City of Hayward,,"San Francisco-Oakland-Hayward, CA M.S.A.",2366.0,Hayward,1388.0,10,157157,4483,71.0,298.0,CA,556,2015
"Berkeley, CA",155,1090.0,San Francisco-Oakland-Hayward,City of Berkeley,,"San Francisco-Oakland-Hayward, CA M.S.A.",4099.0,Berkeley,717.0,1,120387,5906,44.0,330.0,CA,530,2015
"San Leandro, CA",168,501.0,San Francisco-Oakland-Hayward,City of San Leandro,,"San Francisco-Oakland-Hayward, CA M.S.A.",2028.0,San Leandro,903.0,1,90438,3432,23.0,220.0,CA,412,2015
"Redwood City, CA",73,362.0,San Francisco-Oakland-Hayward,City of Redwood City,,"San Francisco-Oakland-Hayward, CA M.S.A.",1274.0,Redwood City,206.0,1,84415,1842,28.0,88.0,CA,190,2015
"San Ramon, CA",10,146.0,San Francisco-Oakland-Hayward,City of San Ramon,,"San Francisco-Oakland-Hayward, CA M.S.A.",654.0,San Ramon,95.0,0,76081,895,4.0,13.0,CA,27,2015
"Pleasanton, CA",33,232.0,San Francisco-Oakland-Hayward,City of Pleasanton,,"San Francisco-Oakland-Hayward, CA M.S.A.",1253.0,Pleasanton,159.0,0,79611,1644,13.0,40.0,CA,86,2015
"Walnut Creek, CA",60,342.0,San Francisco-Oakland-Hayward,City of Walnut Creek,,"San Francisco-Oakland-Hayward, CA M.S.A.",1960.0,Walnut Creek,238.0,1,68530,2540,2.0,28.0,CA,91,2015
"South San Francisco, CA",84,314.0,San Francisco-Oakland-Hayward,City of South San Francisco,,"San Francisco-Oakland-Hayward, CA M.S.A.",916.0,South San Francisco,191.0,1,67843,1421,28.0,44.0,CA,157,2015
"San Rafael, CA",124,267.0,San Francisco-Oakland-Hayward,City of San Rafael,,"San Francisco-Oakland-Hayward, CA M.S.A.",1268.0,San Rafael,352.0,0,59598,1887,27.0,85.0,CA,236,2015
"San Jose, CA",1855,4896.0,San Jose-Sunnyvale-Santa Clara,City of San Jose,,"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",13138.0,San Jose,7001.0,30,1031458,25035,375.0,1140.0,CA,3400,2015
"Sunnyvale, CA",67,545.0,San Jose-Sunnyvale-Santa Clara,City of Sunnyvale,,"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",1514.0,Sunnyvale,296.0,1,152443,2355,29.0,61.0,CA,158,2015
"Santa Clara, CA",64,583.0,San Jose-Sunnyvale-Santa Clara,City of Santa Clara,,"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",2598.0,Santa Clara,398.0,1,123562,3579,20.0,71.0,CA,156,2015
"Mountain View, CA",123,327.0,San Jose-Sunnyvale-Santa Clara,City of Mountain View,,"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",1561.0,Mountain View,142.0,0,80705,2030,10.0,31.0,CA,164,2015
"Milpitas, CA",30,277.0,San Jose-Sunnyvale-Santa Clara,City of Milpitas,,"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",1424.0,Milpitas,265.0,1,75520,1966,9.0,37.0,CA,77,2015
"Palo Alto, CA",27,213.0,San Jose-Sunnyvale-Santa Clara,City of Palo Alto,,"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",1405.0,Palo Alto,86.0,2,67560,1704,13.0,26.0,CA,68,2015
"Cupertino, CA",28,293.0,San Jose-Sunnyvale-Santa Clara,City of Cupertino,,"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",583.0,Cupertino,59.0,0,61162,935,8.0,27.0,CA,63,2015
"San Luis Obispo, CA",146,245.0,San Luis Obispo-Paso Robles-Arroyo Grande,City of San Luis Obispo,,"San Luis Obispo-Paso Robles-Arroyo Grande, CA M.S.A.",1501.0,San Luis Obispo,98.0,0,47116,1844,34.0,13.0,CA,193,2015
"Paso Robles, CA",46,169.0,San Luis Obispo-Paso Robles-Arroyo Grande,City of Paso Robles,,"San Luis Obispo-Paso Robles-Arroyo Grande, CA M.S.A.",848.0,Paso Robles,89.0,0,31659,1106,4.0,12.0,CA,62,2015
"Arroyo Grande, CA",27,83.0,San Luis Obispo-Paso Robles-Arroyo Grande,City of Arroyo Grande,,"San Luis Obispo-Paso Robles-Arroyo Grande, CA M.S.A.",299.0,Arroyo Grande,36.0,0,18071,418,2.0,6.0,CA,35,2015
"Santa Cruz, CA",337,431.0,Santa Cruz-Watsonville,City of Santa Cruz,,"Santa Cruz-Watsonville, CA M.S.A.",2831.0,Santa Cruz,299.0,2,64076,3561,44.0,116.0,CA,499,2015
"Watsonville, CA",162,254.0,Santa Cruz-Watsonville,City of Watsonville,,"Santa Cruz-Watsonville, CA M.S.A.",1261.0,Watsonville,415.0,4,53581,1930,33.0,104.0,CA,303,2015
"Santa Maria, CA",267,595.0,Santa Maria-Santa Barbara,City of Santa Maria,,"Santa Maria-Santa Barbara, CA M.S.A.",1727.0,Santa Maria,653.0,13,104355,2975,50.0,133.0,CA,463,2015
"Santa Barbara, CA",224,374.0,Santa Maria-Santa Barbara,City of Santa Barbara,,"Santa Maria-Santa Barbara, CA M.S.A.",2209.0,Santa Barbara,134.0,1,91877,2717,62.0,76.0,CA,363,2015
"Santa Rosa, CA",382,639.0,Santa Rosa,City of Santa Rosa,,"Santa Rosa, CA M.S.A.",3223.0,Santa Rosa,449.0,4,175738,4311,89.0,131.0,CA,606,2015
"SavannahChatham Metropolitan, GA",536,1872.0,Savannah,City of Savannah-Chatham Metropolitan,,"Savannah, GA M.S.A.",6241.0,SavannahChatham Metropolitan,1123.0,54,240178,9236,59.0,519.0,GA,1168,2015
"Seattle, WA",2394,7677.0,Seattle-Tacoma-Bellevue,City of Seattle,,"Seattle-Tacoma-Bellevue, WA M.S.A.2",26199.0,Seattle,3878.0,23,683700,37754,144.0,1532.0,WA,4093,2015
"Tacoma, WA",1050,2552.0,Seattle-Tacoma-Bellevue,City of Tacoma,,"Seattle-Tacoma-Bellevue, WA M.S.A.2",8492.0,Tacoma,2021.0,12,206884,13065,147.0,485.0,WA,1694,2015
"Bellevue, WA",70,789.0,Seattle-Tacoma-Bellevue,City of Bellevue,,"Seattle-Tacoma-Bellevue, WA M.S.A.2",3321.0,Bellevue,221.0,2,138532,4331,19.0,61.0,WA,152,2015
"Everett, WA",225,974.0,Seattle-Tacoma-Bellevue,City of Everett,,"Seattle-Tacoma-Bellevue, WA M.S.A.2",4316.0,Everett,908.0,5,107633,6198,44.0,148.0,WA,422,2015
"Kent, WA",128,905.0,Seattle-Tacoma-Bellevue,City of Kent,,"Seattle-Tacoma-Bellevue, WA M.S.A.2",4257.0,Kent,1007.0,5,127259,6169,61.0,144.0,WA,338,2015
"Renton, WA",155,1175.0,Seattle-Tacoma-Bellevue,City of Renton,,"Seattle-Tacoma-Bellevue, WA M.S.A.2",3715.0,Renton,905.0,4,100015,5795,41.0,100.0,WA,300,2015
"Auburn, WA",188,952.0,Seattle-Tacoma-Bellevue,City of Auburn,,"Seattle-Tacoma-Bellevue, WA M.S.A.2",2659.0,Auburn,624.0,7,77914,4235,31.0,92.0,WA,318,2015
"Lakewood, WA",281,537.0,Seattle-Tacoma-Bellevue,City of Lakewood,,"Seattle-Tacoma-Bellevue, WA M.S.A.2",1865.0,Lakewood,254.0,0,59958,2656,43.0,90.0,WA,414,2015
"Redmond, WA",37,233.0,Seattle-Tacoma-Bellevue,City of Redmond,,"Seattle-Tacoma-Bellevue, WA M.S.A.2",1495.0,Redmond,68.0,0,60542,1796,9.0,18.0,WA,64,2015
"Sebastian, FL",38,89.0,Sebastian-Vero Beach,City of Sebastian,,"Sebastian-Vero Beach, FL M.S.A.",399.0,Sebastian,16.0,0,23706,504,9.0,9.0,FL,56,2015
"Vero Beach, FL",64,121.0,Sebastian-Vero Beach,City of Vero Beach,,"Sebastian-Vero Beach, FL M.S.A.",413.0,Vero Beach,20.0,0,16215,554,10.0,7.0,FL,81,2015
"Sebring, FL",13,104.0,Sebring,City of Sebring,,"Sebring, FL M.S.A.",416.0,Sebring,12.0,1,10363,532,5.0,15.0,FL,34,2015
"Sheboygan, WI",124,128.0,Sheboygan,City of Sheboygan,,"Sheboygan, WI M.S.A.",991.0,Sheboygan,31.0,0,48667,1150,21.0,14.0,WI,159,2015
"Sherman, TX",93,261.0,Sherman-Denison,City of Sherman,,"Sherman-Denison, TX M.S.A.",854.0,Sherman,84.0,2,40338,1199,42.0,33.0,TX,170,2015
"Denison, TX",84,151.0,Sherman-Denison,City of Denison,,"Sherman-Denison, TX M.S.A.",448.0,Denison,65.0,2,22952,664,27.0,25.0,TX,138,2015
"Shreveport, LA",1009,2234.0,Shreveport-Bossier City,City of Shreveport,,"Shreveport-Bossier City, LA M.S.A.",7339.0,Shreveport,575.0,22,197592,10148,128.0,460.0,LA,1619,2015
" Bossier City, LA",387,491.0,Shreveport-Bossier City,City of  Bossier City,,"Shreveport-Bossier City, LA M.S.A.",2321.0, Bossier City,172.0,5,68918,2984,43.0,79.0,LA,514,2015
"Sioux City, IA",250,648.0,Sioux City,"City of Sioux City, IA",,"Sioux City, IA-NE-SD M.S.A.2",2557.0,Sioux City IA,291.0,2,82445,3496,40.0,54.0,IA,346,2015
"Sioux Falls, SD",596,1089.0,Sioux Falls,City of Sioux Falls,,"Sioux Falls, SD M.S.A.",4177.0,Sioux Falls,419.0,2,172313,5685,134.0,87.0,SD,819,2015
"South Bend, IN",265,1430.0,South Bend-Mishawaka,"City of South Bend, IN",,"South Bend-Mishawaka, IN-MI M.S.A.",3612.0,South Bend IN,368.0,17,101240,5410,88.0,350.0,IN,720,2015
"Mishawaka, IN",53,302.0,South Bend-Mishawaka,"City of Mishawaka, IN",,"South Bend-Mishawaka, IN-MI M.S.A.",1878.0,Mishawaka IN,132.0,2,48164,2312,21.0,45.0,IN,121,2015
"Spartanburg, SC",253,338.0,Spartanburg,City of Spartanburg,,"Spartanburg, SC M.S.A.",1916.0,Spartanburg,129.0,6,37707,2383,26.0,95.0,SC,380,2015
"Spokane, WA",647,2817.0,Spokane-Spokane Valley,City of Spokane,,"Spokane-Spokane Valley, WA M.S.A.",11408.0,Spokane,1746.0,12,212698,15971,119.0,333.0,WA,1111,2015
"Spokane Valley, WA",124,849.0,Spokane-Spokane Valley,City of Spokane Valley,,"Spokane-Spokane Valley, WA M.S.A.",3501.0,Spokane Valley,429.0,0,92157,4779,38.0,73.0,WA,235,2015
"Springfield, IL",880,1131.0,Springfield,City of Springfield,,"Springfield, IL M.S.A.",3997.0,Springfield,193.0,11,116875,5321,103.0,257.0,IL,1251,2015
"Springfield, MA",1031,1303.0,Springfield,City of Springfield,,"Springfield, MA M.S.A.",3261.0,Springfield,604.0,18,154090,5168,95.0,510.0,MA,1654,2015
"Springfield, MO",1506,1956.0,Springfield,City of Springfield,,"Springfield, MO M.S.A.",9799.0,Springfield,1252.0,10,166860,13007,298.0,448.0,MO,2262,2015
"Springfield, OH",149,1045.0,Springfield,City of Springfield,,"Springfield, OH M.S.A.",2449.0,Springfield,205.0,12,59804,3699,31.0,163.0,OH,355,2015
"State College, PA",16,77.0,State College,City of State College,,"State College, PA M.S.A.",556.0,State College,7.0,2,57710,640,4.0,5.0,PA,27,2015
"Staunton, VA",18,32.0,Staunton-Waynesboro,City of Staunton,,"Staunton-Waynesboro, VA M.S.A.",440.0,Staunton,16.0,0,24654,488,8.0,10.0,VA,36,2015
"Waynesboro, VA",23,26.0,Staunton-Waynesboro,City of Waynesboro,,"Staunton-Waynesboro, VA M.S.A.",530.0,Waynesboro,14.0,0,21384,570,8.0,12.0,VA,43,2015
"St Cloud, MN",132,399.0,St. Cloud,City of St. Cloud,,"St. Cloud, MN M.S.A.",2736.0,St Cloud,124.0,4,66498,3259,55.0,57.0,MN,248,2015
"St George, UT",79,326.0,St. George,City of St. George,,"St. George, UT M.S.A.",962.0,St George,110.0,0,79984,1398,25.0,12.0,UT,116,2015
"St Joseph, MO",243,847.0,St. Joseph,"City of St. Joseph, MO",,"St. Joseph, MO-KS M.S.A.",3235.0,St Joseph MO,452.0,7,77035,4534,61.0,86.0,MO,397,2015
"St Louis, MO",3521,4202.0,St. Louis,"City of St. Louis, MO",,"St. Louis, MO-IL M.S.A.2",12680.0,St Louis MO,3146.0,188,317095,20028,263.0,1790.0,MO,5762,2015
"St Charles, MO",73,193.0,St. Louis,"City of St. Charles, MO",,"St. Louis, MO-IL M.S.A.2",1444.0,St Charles MO,79.0,1,68624,1716,19.0,31.0,MO,124,2015
"Stockton, CA",2794,2891.0,Stockton-Lodi,City of Stockton,,"Stockton-Lodi, CA M.S.A.",8119.0,Stockton,1988.0,49,304890,12998,135.0,1144.0,CA,4122,2015
"Lodi, CA",267,410.0,Stockton-Lodi,City of Lodi,,"Stockton-Lodi, CA M.S.A.",1243.0,Lodi,440.0,4,64369,2093,12.0,94.0,CA,377,2015
"Sumter, SC",221,532.0,Sumter,City of Sumter,,"Sumter, SC M.S.A.",1250.0,Sumter,90.0,4,41017,1872,1.0,64.0,SC,290,2015
"Syracuse, NY",684,1194.0,Syracuse,City of Syracuse,,"Syracuse, NY M.S.A.",3577.0,Syracuse,316.0,22,144027,5087,77.0,359.0,NY,1142,2015
"Tallahassee, FL",1369,2073.0,Tallahassee,City of Tallahassee,,"Tallahassee, FL M.S.A.",6617.0,Tallahassee,968.0,16,189709,9658,235.0,399.0,FL,2019,2015
"Tampa , FL",1516,1833.0,Tampa-St. Petersburg-Clearwater,City of Tampa ,,"Tampa-St. Petersburg-Clearwater, FL M.S.A.",5937.0,Tampa ,596.0,34,364383,8366,77.0,671.0,FL,2298,2015
"St Petersburg, FL",1175,2319.0,Tampa-St. Petersburg-Clearwater,City of St. Petersburg,,"Tampa-St. Petersburg-Clearwater, FL M.S.A.",10542.0,St Petersburg,1523.0,14,255821,14384,136.0,573.0,FL,1898,2015
"Clearwater, FL",409,638.0,Tampa-St. Petersburg-Clearwater,City of Clearwater,,"Tampa-St. Petersburg-Clearwater, FL M.S.A.",3420.0,Clearwater,298.0,7,111316,4356,82.0,181.0,FL,679,2015
"Largo, FL",225,506.0,Tampa-St. Petersburg-Clearwater,City of Largo,,"Tampa-St. Petersburg-Clearwater, FL M.S.A.",2580.0,Largo,220.0,2,79263,3306,67.0,117.0,FL,411,2015
"Texarkana T, TX",210,320.0,Texarkana,"City of Texarkana, TX ",,"Texarkana, TX-AR M.S.A.",1464.0,Texarkana TX ,120.0,3,37415,1904,20.0,51.0,TX,284,2015
"Toledo, OH",2002,4127.0,Toledo,City of Toledo,,"Toledo, OH M.S.A.2",7483.0,Toledo,900.0,24,279552,12510,228.0,902.0,OH,3156,2015
"Topeka, KS",388,1176.0,Topeka,City of Topeka,,"Topeka, KS M.S.A.",4876.0,Topeka,549.0,11,127096,6601,93.0,228.0,KS,720,2015
"Trenton, NJ",551,771.0,Trenton,City of Trenton2,,"Trenton, NJ M.S.A.2",784.0,Trenton,475.0,17,83662,2030,48.0,402.0,NJ,1018,2015
"Tucson, AZ",1960,3664.0,Tucson,City of Tucson,,"Tucson, AZ M.S.A.",29592.0,Tucson,1929.0,31,529675,35185,422.0,1059.0,AZ,3472,2015
"Tulsa, OK",2354,5512.0,Tulsa,City of Tulsa,,"Tulsa, OK M.S.A.2",12729.0,Tulsa,2651.0,55,401520,20892,365.0,854.0,OK,3628,2015
"Tuscaloosa, AL",308,1132.0,Tuscaloosa,City of Tuscaloosa,,"Tuscaloosa, AL M.S.A.",2892.0,Tuscaloosa,186.0,7,97511,4210,45.0,200.0,AL,560,2015
"Tyler, TX",270,673.0,Tyler,City of Tyler,,"Tyler, TX M.S.A.",3210.0,Tyler,203.0,5,102481,4086,54.0,66.0,TX,395,2015
"Utica, NY",213,443.0,Utica-Rome,City of Utica,,"Utica-Rome, NY M.S.A.",1660.0,Utica,93.0,6,61109,2196,44.0,86.0,NY,349,2015
"Rome, NY",17,122.0,Utica-Rome,City of Rome,,"Utica-Rome, NY M.S.A.",482.0,Rome,14.0,0,32376,618,12.0,11.0,NY,40,2015
"Vallejo , CA",560,2352.0,Vallejo-Fairfield,City of Vallejo ,,"Vallejo-Fairfield, CA M.S.A.",1536.0,Vallejo ,1098.0,18,121257,4986,102.0,351.0,CA,1031,2015
