newidx,aggravated_assault,burglary,city,counties_principal_cities,forcible_rape,index,larceny_theft,main_city,motor_vehicle_theft,murder_and_nonnegligent_manslaughter,population,property_crime,rape1,robbery,state,violent_crime,year
"Altoona, PA",78,301.0,Altoona,City of Altoona,26,"Altoona, PA M.S.A.",745.0,Altoona,44.0,0,46468,1090,,39.0,PA,143,2011
"Amarillo, TX",874,2016.0,Amarillo,City of Amarillo,104,"Amarillo, TX M.S.A.",6756.0,Amarillo,616.0,10,194708,9388,,235.0,TX,1223,2011
"Ames, IA",150,351.0,Ames,City of Ames,18,"Ames, IA M.S.A.",1263.0,Ames,56.0,0,59274,1670,,10.0,IA,178,2011
"Anchorage, AK",1628,1080.0,Anchorage,City of Anchorage,283,"Anchorage, AK M.S.A.",7750.0,Anchorage,625.0,12,296955,9455,,465.0,AK,2388,2011
"Anderson, SC",147,481.0,Anderson,City of Anderson,9,"Anderson, SC M.S.A.",1405.0,Anderson,142.0,3,26997,2028,,50.0,SC,209,2011
"Ann Arbor, MI",166,534.0,Ann Arbor,City of Ann Arbor,36,"Ann Arbor, MI M.S.A.",1918.0,Ann Arbor,97.0,0,113848,2549,,59.0,MI,261,2011
"Anniston, AL",294,996.0,Anniston-Oxford,City of Anniston1,21,"Anniston-Oxford, AL M.S.A.1",1227.0,Anniston,100.0,11,23217,2323,,85.0,AL,411,2011
"Oxford, AL",63,182.0,Anniston-Oxford,City of Oxford1,5,"Anniston-Oxford, AL M.S.A.1",808.0,Oxford,58.0,3,17280,1048,,16.0,AL,87,2011
"Appleton, WI",155,220.0,Appleton,City of Appleton,33,"Appleton, WI M.S.A.",1213.0,Appleton,25.0,0,72939,1458,,29.0,WI,217,2011
"Asheville, NC",236,753.0,Asheville,City of Asheville,22,"Asheville, NC M.S.A.",2875.0,Asheville,321.0,5,84450,3949,,181.0,NC,444,2011
"AthensClarke County, GA",249,1359.0,Athens-Clarke County,City of Athens-Clarke County,30,"Athens-Clarke County, GA M.S.A.",3273.0,AthensClarke County,241.0,6,117114,4873,,132.0,GA,417,2011
"Atlanta, GA",3518,7499.0,Atlanta-Sandy Springs-Marietta,City of Atlanta,148,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",17274.0,Atlanta,5371.0,88,425533,30144,,2343.0,GA,6097,2011
"Sandy Springs, GA",52,587.0,Atlanta-Sandy Springs-Marietta,City of Sandy Springs,6,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",1728.0,Sandy Springs,160.0,1,95089,2475,,94.0,GA,153,2011
"Marietta, GA",243,584.0,Atlanta-Sandy Springs-Marietta,City of Marietta,13,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",1864.0,Marietta,176.0,5,57324,2624,,125.0,GA,386,2011
"Atlantic City, NJ",322,573.0,Atlantic City-Hammonton,City of Atlantic City,22,"Atlantic City-Hammonton, NJ M.S.A.",2261.0,Atlantic City,104.0,13,39690,2938,,384.0,NJ,741,2011
"Hammonton , NJ",8,60.0,Atlantic City-Hammonton,City of Hammonton ,0,"Atlantic City-Hammonton, NJ M.S.A.",132.0,Hammonton ,8.0,2,14840,200,,7.0,NJ,17,2011
"Auburn, AL",92,550.0,Auburn-Opelika,City of Auburn1,12,"Auburn-Opelika, AL M.S.A.1",1520.0,Auburn,73.0,0,53637,2143,,48.0,AL,152,2011
"Opelika, AL",55,406.0,Auburn-Opelika,City of Opelika1,17,"Auburn-Opelika, AL M.S.A.1",1597.0,Opelika,33.0,2,26604,2036,,41.0,AL,115,2011
"Austin, TX",2126,7042.0,Austin-Round Rock-San Marcos,City of Austin,211,"Austin-Round Rock-San Marcos, TX M.S.A.",33069.0,Austin,2139.0,28,807022,42250,,1106.0,TX,3471,2011
"Round Rock, TX",49,394.0,Austin-Round Rock-San Marcos,City of Round Rock,25,"Austin-Round Rock-San Marcos, TX M.S.A.",2001.0,Round Rock,51.0,2,101989,2446,,39.0,TX,115,2011
"San Marcos, TX",110,273.0,Austin-Round Rock-San Marcos,City of San Marcos,11,"Austin-Round Rock-San Marcos, TX M.S.A.",1206.0,San Marcos,89.0,1,45839,1568,,37.0,TX,159,2011
